행정동,사고유형 - 소분류_ 기타,사고유형 - 소분류_ 길가장자리구역통행중,사고유형 - 소분류_ 보도통행중,사고유형 - 소분류_ 차도통행중,사고유형 - 소분류_ 횡단중,법규위반_교차로운행방법위반,법규위반_기타,법규위반_보행자보호의무위반,법규위반_불법유턴,법규위반_신호위반,법규위반_안전거리미확보,법규위반_안전운전불이행,법규위반_중앙선침범,법규위반_직진우회전진행방해,법규위반_차로위반,도로형태 - 대분류_교차로,도로형태 - 대분류_기타,도로형태 - 대분류_단일로,도로형태 - 대분류_미분류,도로형태 - 대분류_주차장,도로형태 - 소분류_ 고가도로위,도로형태 - 소분류_ 교량,도로형태 - 소분류_ 교차로부근,도로형태 - 소분류_ 교차로안,도로형태 - 소분류_ 교차로횡단보도내,도로형태 - 소분류_ 기타,도로형태 - 소분류_ 미분류,도로형태 - 소분류_ 주차장,도로형태 - 소분류_ 지하차도(도로)내,도로형태 - 소분류_ 터널,가해운전자 차종_개인형이동수단(PM),가해운전자 차종_건설기계,가해운전자 차종_기타불명,가해운전자 차종_승용,가해운전자 차종_승합,가해운전자 차종_원동기,가해운전자 차종_이륜,가해운전자 차종_자전거,가해운전자 차종_특수,가해운전자 차종_화물,가해운전자 연령대_10대 이하,가해운전자 연령대_20대,가해운전자 연령대_30대,가해운전자 연령대_40대,가해운전자 연령대_50대,가해운전자 연령대_60대,가해운전자 연령대_70대,가해운전자 연령대_미분류,total_population,street parking,senior_ratio,평균 ECLO
군자동,5,1,2,1,3,1,1,0,0,2,0,7,1,0,0,2,1,9,0,0,0,0,1,0,1,9,0,0,1,0,2,1,0,5,1,2,1,0,0,0,0,2,1,2,2,2,3,0,21461,50,0.15544476,9.666666667
금호2.3가동,6,2,1,3,8,0,0,6,0,0,0,14,0,0,0,9,1,10,0,0,0,0,3,2,4,11,0,0,0,0,0,1,1,12,2,2,0,0,0,2,0,1,3,3,3,6,3,1,22029,153,0.18893277,2.75
금호4가동,4,0,1,0,3,0,1,2,0,1,0,4,0,0,0,1,1,6,0,0,0,0,1,0,0,7,0,0,0,0,1,0,0,4,1,0,1,1,0,0,1,0,2,2,1,2,0,0,14231,42,0.188953693,0.375
길동,17,2,2,0,5,0,1,3,0,0,0,22,0,0,0,11,2,13,0,0,0,0,4,6,1,15,0,0,0,0,0,0,0,20,2,0,0,0,0,4,1,2,3,4,5,9,2,0,45072,825,0.203541001,4.346153846
봉천동,52,7,9,18,23,1,8,17,0,7,1,71,3,1,0,43,22,44,0,0,0,0,18,11,14,66,0,0,0,0,4,0,1,66,8,1,13,3,1,12,2,21,17,8,19,29,11,2,225866,2036,0.171313965,0.064220183
신림동,75,7,13,21,48,1,9,21,0,11,0,120,1,0,1,55,43,63,2,1,0,0,16,15,24,106,2,1,0,0,4,1,4,95,16,0,19,10,0,15,1,21,27,24,29,40,15,7,234013,3320,0.166093337,1.591463415
남가좌동,10,1,3,1,8,0,3,3,0,4,0,13,0,0,0,9,2,12,0,0,0,0,0,3,6,14,0,0,0,0,0,0,1,12,2,1,4,1,0,2,1,1,5,2,7,3,3,1,47253,288,0.161894483,0.47826087
남영동,7,1,4,1,8,0,7,2,0,2,0,10,0,0,0,5,4,12,0,0,0,0,1,1,3,15,0,0,0,1,1,0,2,13,2,0,0,2,0,1,1,3,1,2,5,5,2,2,7301,198,0.221613478,11.85714286
남현동,6,0,0,2,2,0,1,1,0,0,0,8,0,0,0,5,0,5,0,0,0,0,1,3,1,5,0,0,0,0,0,0,0,6,1,0,2,0,0,1,0,1,2,2,1,1,3,0,17962,266,0.173477341,24.3
내곡동,9,0,0,2,2,0,2,0,0,3,0,8,0,0,0,4,3,6,0,0,0,0,2,1,1,9,0,0,0,0,0,0,1,8,2,0,0,1,0,1,0,1,3,3,2,2,1,1,17171,0,0.208083396,3.615384615
