행정동,사고유형 - 소분류_ 기타,사고유형 - 소분류_ 길가장자리구역통행중,사고유형 - 소분류_ 보도통행중,사고유형 - 소분류_ 차도통행중,사고유형 - 소분류_ 횡단중,법규위반_교차로운행방법위반,법규위반_기타,법규위반_보행자보호의무위반,법규위반_불법유턴,법규위반_신호위반,법규위반_안전거리미확보,법규위반_안전운전불이행,법규위반_중앙선침범,법규위반_직진우회전진행방해,법규위반_차로위반,도로형태 - 대분류_교차로,도로형태 - 대분류_기타,도로형태 - 대분류_단일로,도로형태 - 대분류_미분류,도로형태 - 대분류_주차장,도로형태 - 소분류_ 고가도로위,도로형태 - 소분류_ 교량,도로형태 - 소분류_ 교차로부근,도로형태 - 소분류_ 교차로안,도로형태 - 소분류_ 교차로횡단보도내,도로형태 - 소분류_ 기타,도로형태 - 소분류_ 미분류,도로형태 - 소분류_ 주차장,도로형태 - 소분류_ 지하차도(도로)내,도로형태 - 소분류_ 터널,가해운전자 차종_개인형이동수단(PM),가해운전자 차종_건설기계,가해운전자 차종_기타불명,가해운전자 차종_승용,가해운전자 차종_승합,가해운전자 차종_원동기,가해운전자 차종_이륜,가해운전자 차종_자전거,가해운전자 차종_특수,가해운전자 차종_화물,가해운전자 연령대_10대 이하,가해운전자 연령대_20대,가해운전자 연령대_30대,가해운전자 연령대_40대,가해운전자 연령대_50대,가해운전자 연령대_60대,가해운전자 연령대_70대,가해운전자 연령대_미분류,total_population,street parking,senior_ratio,평균 ECLO
석촌동,14,1,3,4,17,1,3,13,0,1,0,20,1,0,0,16,4,19,0,0,0,0,3,9,4,23,0,0,0,0,4,0,1,19,3,1,4,2,1,4,0,5,7,7,11,7,1,1,31269,615,0.161213982,6.820512821
성내동,29,2,6,3,17,0,4,9,0,0,0,44,0,0,0,23,3,31,0,0,0,0,11,4,8,34,0,0,0,0,2,0,0,33,3,2,3,7,0,7,3,3,10,10,10,12,8,1,66208,1780,0.190883277,2.684210526
성북동,2,1,0,1,4,0,0,2,0,0,0,6,0,0,0,1,1,6,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,6,0,0,1,0,0,1,0,2,0,1,1,4,0,0,16475,428,0.192655539,3.25
성산제2동,0,0,1,0,2,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,39156,191,0.170446419,49.66666667
세곡동,10,0,1,1,10,0,1,4,0,3,0,14,0,0,0,7,0,15,0,0,0,0,1,3,3,15,0,0,0,0,0,0,3,15,4,0,0,0,0,0,0,1,3,4,3,6,2,3,45450,222,0.161694169,4.181818182
소공동,5,0,1,2,3,0,1,2,0,0,0,8,0,0,0,2,1,8,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,6,3,0,2,0,0,0,0,0,2,1,4,2,2,0,3373,59,0.102579306,8.454545455
송파동,17,3,4,7,16,0,5,8,0,2,0,32,0,0,0,24,2,21,0,0,0,0,8,9,7,23,0,0,0,0,2,0,2,30,0,1,4,1,0,7,2,5,6,10,4,12,6,2,42459,597,0.165312419,1.872340426
수궁동,3,3,1,0,7,0,0,2,0,2,0,10,0,0,0,7,2,5,0,0,0,0,1,2,4,7,0,0,0,0,0,0,0,7,2,0,0,1,0,4,1,1,2,2,2,5,1,0,23010,257,0.221729683,2.714285714
수색동,0,1,0,0,2,0,0,1,0,0,0,2,0,0,0,2,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,20915,62,0.150848673,83.66666667
수유동,66,9,3,11,31,0,8,16,0,6,0,90,0,0,0,57,8,54,1,0,0,0,24,23,10,62,1,0,0,0,0,0,6,64,15,2,14,5,1,13,3,18,13,21,21,27,11,6,93964,1224,0.243550722,0.108333333
숭인동,14,8,3,4,5,0,2,0,0,2,0,30,0,0,0,4,1,29,0,0,0,0,3,1,0,30,0,0,0,0,0,0,0,20,3,1,6,1,0,3,0,3,4,5,10,5,7,0,17021,73,0.182480465,4.941176471
시흥동,51,2,3,1,21,0,6,9,0,8,0,54,1,0,0,26,2,50,0,0,0,0,6,5,15,52,0,0,0,0,0,0,3,42,12,0,9,2,0,10,1,5,8,8,22,23,7,4,103069,674,0.230166199,3.5
신길동,27,7,9,8,25,0,7,18,0,5,0,45,1,0,0,30,4,42,0,0,0,0,8,16,6,46,0,0,0,0,0,0,2,51,7,0,11,1,0,4,1,7,17,11,13,20,5,2,88529,668,0.185362988,1.171052632
신내동,11,0,2,1,10,0,1,3,0,3,0,17,0,0,0,14,2,7,0,1,0,0,1,4,9,9,0,1,0,0,1,0,3,10,3,1,2,1,0,3,2,2,3,3,7,3,1,3,57316,343,0.215786168,1.458333333
신대방동,20,0,2,5,11,0,2,5,0,7,0,23,1,0,0,18,1,18,0,1,0,0,6,5,7,19,0,1,0,0,1,0,1,22,3,0,5,2,0,4,1,5,11,2,9,4,4,2,47336,236,0.170208721,0.210526316
신사동(은평구),7,0,0,5,8,0,1,4,0,4,0,11,0,0,0,13,0,7,0,0,0,0,2,8,3,6,0,0,1,0,0,0,0,15,1,0,0,2,0,2,2,1,3,3,6,3,2,0,45624,178,0.214075925,2.35
신수동,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22543,176,0.157876059,29
신월동,58,2,4,4,19,0,6,19,0,5,0,57,0,0,0,31,15,40,0,1,0,0,9,12,10,55,0,1,0,0,1,2,3,48,5,2,6,4,0,16,2,8,14,7,15,29,9,3,119043,2278,0.218349672,1.965517241
신정동(양천구),44,1,4,6,23,0,1,14,0,4,0,59,0,0,0,29,16,33,0,0,0,0,13,10,6,49,0,0,0,0,0,0,2,50,7,0,5,6,1,7,4,5,11,9,16,19,12,2,172803,1697,0.174499285,4
신촌동,12,3,2,5,9,0,1,6,1,4,0,19,0,0,0,9,1,21,0,0,0,0,3,2,4,22,0,0,0,0,2,0,0,19,2,1,4,1,0,2,0,10,4,6,6,5,0,0,27079,226,0.081613058,1.161290323
쌍문동,11,3,3,1,13,0,3,2,1,1,0,24,0,0,0,17,1,13,0,0,0,0,5,11,1,14,0,0,0,0,0,0,0,18,5,0,4,1,0,3,0,5,2,9,5,7,2,1,73706,891,0.226358777,6.419354839
안암동,4,0,3,0,6,0,3,3,0,3,0,4,0,0,0,1,1,11,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,7,2,0,3,0,0,1,0,0,2,4,1,2,4,0,17147,335,0.128477285,4.076923077
암사동,14,1,3,1,12,0,4,2,0,3,0,22,0,0,0,14,3,14,0,0,0,0,5,4,5,17,0,0,0,0,0,1,0,22,2,1,1,2,0,2,1,4,4,5,7,5,5,0,65971,780,0.189856149,11
양재1동,5,1,0,3,6,0,0,2,0,2,0,11,0,0,0,6,0,8,1,0,0,0,0,3,3,8,1,0,0,0,1,0,1,9,3,0,1,0,0,0,0,2,3,1,2,5,1,1,42020,632,0.186244645,5.4
양재2동,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,21458,569,0.153882002,5.5
양평제1동,5,0,2,2,0,0,3,0,0,0,0,6,0,0,0,1,1,7,0,0,0,0,0,1,0,8,0,0,0,0,0,0,1,3,2,0,1,1,0,1,0,1,2,1,2,2,0,1,18465,353,0.138478202,7.666666667
양평제2동,6,0,1,0,8,0,1,3,0,1,0,10,0,0,0,4,1,10,0,0,0,0,3,0,1,11,0,0,0,0,0,0,0,11,1,0,1,2,0,0,0,1,3,4,3,4,0,0,22924,315,0.125981504,2.266666667
여의동,23,2,1,6,17,0,6,7,0,4,0,31,1,0,0,13,4,30,0,2,0,0,5,8,0,34,0,2,0,0,0,0,2,27,6,0,4,4,0,6,2,4,9,5,12,10,5,2,33936,692,0.196723244,1.87755102
역삼동,121,18,10,12,35,2,11,21,1,11,0,149,1,0,0,52,29,115,0,0,0,0,18,16,18,144,0,0,0,0,10,1,9,142,8,2,11,2,0,11,5,33,27,34,32,39,17,9,71999,954,0.108182058,0.25
역촌동,13,0,2,6,11,0,1,3,0,3,0,24,1,0,0,13,1,16,2,0,0,0,4,5,4,17,2,0,0,0,2,0,1,18,2,1,6,1,0,1,2,3,2,7,5,8,4,1,44114,425,0.211769506,0.125
연남동,2,0,0,1,3,0,0,2,0,0,0,4,0,0,0,2,0,4,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,1,0,1,2,2,0,0,15132,447,0.166732752,10.5
연희동,14,1,5,4,13,0,8,7,0,4,0,18,0,0,0,13,1,23,0,0,0,0,2,6,5,24,0,0,0,0,4,1,1,21,4,1,0,3,0,2,0,6,7,7,9,6,1,1,37222,1261,0.173607007,1.243243243
염창동,8,2,2,0,8,0,2,3,0,1,0,14,0,0,0,7,3,10,0,0,0,0,4,2,1,13,0,0,0,0,0,0,1,4,2,0,1,5,0,7,1,1,5,1,1,7,3,1,41440,79,0.120921815,2.8
영등포동,35,11,6,10,19,0,6,7,0,4,0,64,0,0,0,26,2,53,0,0,0,2,11,9,6,53,0,0,0,0,2,0,2,52,6,0,1,6,0,12,3,14,15,9,14,17,7,2,31712,375,0.115287588,0.432098765
오금동,4,1,3,4,9,0,2,4,0,0,0,15,0,0,0,11,0,10,0,0,0,0,5,5,1,10,0,0,0,0,0,0,4,13,1,1,2,0,0,0,2,1,1,2,3,5,3,4,38066,1862,0.194924605,10.85714286
오류제2동,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,2,0,0,0,37601,84,0.211005026,4.666666667
옥수동,2,0,3,0,8,0,1,5,0,3,0,4,0,0,0,5,2,6,0,0,0,0,0,1,4,8,0,0,0,0,0,0,0,8,2,0,1,2,0,0,2,0,0,2,3,4,2,0,25631,104,0.176075846,6.692307692
왕십리도선동,5,1,0,0,8,0,0,2,0,2,0,10,0,0,0,5,1,8,0,0,0,0,1,1,3,9,0,0,0,0,0,0,0,10,0,1,0,0,0,3,0,4,1,2,2,4,1,0,26801,138,0.155180777,7.142857143
용강동,1,0,0,0,3,0,1,1,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,1,0,2,0,21655,310,0.146109444,17
용답동,5,1,2,3,2,0,1,1,0,0,0,11,0,0,0,2,1,10,0,0,0,0,0,1,1,11,0,0,0,0,0,0,0,6,1,1,2,1,0,2,0,0,5,0,3,4,1,0,13033,402,0.179927875,3.615384615
용문동,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,1,0,0,11446,29,0.199545693,47
용산2가동,7,1,0,0,2,0,0,2,0,0,0,8,0,0,0,3,1,5,1,0,0,0,1,2,0,6,1,0,0,0,0,0,0,7,2,0,0,0,0,1,0,0,1,3,1,4,1,0,10243,96,0.207654008,8.4
용신동,24,1,6,9,24,0,4,14,0,3,0,43,0,0,0,27,3,34,0,0,0,1,8,8,11,36,0,0,0,0,3,0,1,31,6,1,9,4,0,9,1,8,11,10,15,12,6,1,40283,618,0.167465184,4.53125
우이동,2,0,1,0,3,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,2,1,0,3,0,0,0,0,0,1,0,1,3,0,1,0,0,0,1,0,0,1,2,1,1,0,19995,287,0.260265066,4.666666667
원효로제1동,7,0,0,2,3,0,1,3,0,1,0,7,0,0,0,4,4,4,0,0,0,0,1,1,2,8,0,0,0,0,0,0,0,9,2,0,0,0,0,1,0,2,2,3,1,3,1,0,17682,155,0.119500057,3.75
원효로제2동,6,0,0,1,3,0,0,3,0,0,0,7,0,0,0,4,4,2,0,0,0,0,2,0,2,6,0,0,0,0,0,0,0,7,1,0,0,0,0,2,0,2,1,0,3,4,0,0,13724,103,0.182599825,30.3
월계동,20,0,1,4,16,0,5,9,0,2,0,25,0,0,0,19,9,12,0,1,0,0,6,7,6,21,0,1,0,0,1,0,3,18,3,1,4,2,0,9,0,4,2,7,9,12,3,4,75556,164,0.232463338,2.12195122
월곡제2동,1,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,19492,236,0.199825569,24
을지로동,7,0,2,0,5,0,1,2,0,1,0,10,0,0,0,5,1,7,1,0,0,0,0,3,2,8,1,0,0,0,0,2,1,5,2,3,1,0,0,0,0,2,1,1,4,3,2,1,3393,257,0.149130563,8.642857143
응봉동,2,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,1,0,0,0,14921,132,0.178741371,11.66666667
응암동,9,0,3,12,19,0,2,6,0,5,0,29,1,0,0,23,1,19,0,0,0,0,7,8,8,20,0,0,0,0,1,1,0,24,4,1,4,4,0,4,1,4,6,7,17,6,2,0,84266,596,0.191714333,2.23255814
이문동,12,0,0,0,4,0,1,2,0,1,0,12,0,0,0,2,1,13,0,0,0,0,1,0,1,14,0,0,0,0,1,0,3,5,3,0,1,2,0,1,1,3,3,2,3,0,1,3,41315,390,0.186106741,19.3125
이촌동,0,0,1,3,5,0,0,1,0,0,0,7,1,0,0,3,1,5,0,0,0,0,1,2,0,6,0,0,0,0,0,0,0,7,0,0,0,1,0,1,0,1,0,5,0,2,1,0,33411,337,0.191823052,24.44444444
이태원동,21,4,0,2,4,0,3,2,0,3,0,23,0,0,0,3,8,18,0,2,0,0,2,1,0,26,0,2,0,0,0,0,0,26,0,0,4,1,0,0,2,4,5,2,8,8,2,0,18085,323,0.185899917,13.83870968
이화동,9,4,1,2,6,0,1,2,0,3,0,16,0,0,0,7,1,14,0,0,0,0,1,2,4,15,0,0,0,0,0,0,0,14,2,0,4,0,0,2,0,4,4,1,7,5,1,0,7557,105,0.183009131,2.5
자양동,17,1,2,0,14,0,3,8,1,3,0,19,0,0,0,13,7,14,0,0,0,0,1,4,8,21,0,0,0,0,2,1,1,14,4,2,6,3,0,1,2,7,5,4,6,6,3,1,97634,997,0.17959932,4.941176471
잠실동,45,4,15,8,20,0,6,6,0,6,0,73,1,0,0,26,8,58,0,0,1,0,10,12,4,65,0,0,0,0,2,0,9,58,4,1,3,11,0,4,8,8,11,13,12,22,8,10,106675,580,0.159043825,0.239130435
신천동,7,0,5,0,10,0,3,8,0,3,0,8,0,0,0,9,2,11,0,0,0,0,1,3,5,13,0,0,0,0,1,0,3,11,4,0,1,2,0,0,1,2,2,3,4,5,2,3,37899,115,0.169740626,9.409090909
장안동,27,2,8,9,30,0,7,14,1,3,0,51,0,0,0,25,2,47,0,2,0,1,12,6,7,48,0,2,0,0,0,0,0,43,7,1,10,6,0,9,2,6,9,14,22,18,5,0,71064,597,0.184256445,2.973684211
장위동,6,2,3,15,8,0,2,3,0,2,0,26,1,0,0,12,1,21,0,0,0,0,8,3,1,22,0,0,0,0,0,0,0,20,0,2,7,2,0,3,1,5,3,5,5,11,3,1,52447,522,0.193128301,1.588235294
장충동,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,5455,69,0.166269478,15.5
전농동,22,2,3,1,10,0,6,7,0,2,0,23,0,0,0,11,2,24,0,1,0,0,3,5,3,26,0,1,0,0,0,0,0,21,4,0,6,3,0,4,2,2,4,2,13,12,3,0,51891,539,0.198203927,3.473684211
정릉동,31,1,3,2,19,0,2,7,0,7,0,39,1,0,0,14,8,34,0,0,0,0,4,4,6,42,0,0,0,0,1,0,3,40,4,0,2,0,0,6,0,6,9,9,9,17,3,3,41212,342,0.212850626,0.732142857
제기동,39,3,1,9,20,0,3,5,0,4,0,59,1,0,0,15,5,52,0,0,0,1,4,5,6,56,0,0,0,0,0,1,1,39,4,3,7,4,0,13,0,6,5,13,16,19,11,2,25372,761,0.227494876,0.583333333
종로1.2.3.4가동,29,4,9,12,30,0,8,15,0,5,0,56,0,0,0,30,10,42,0,2,0,0,12,6,12,50,0,2,2,0,2,0,5,49,10,1,7,3,0,7,1,7,7,13,15,32,4,5,8466,265,0.213087645,1.297619048
종로5.6가동,9,1,2,2,3,0,3,3,0,1,0,9,1,0,0,3,0,14,0,0,0,0,1,2,0,14,0,0,0,0,2,0,0,7,3,1,0,3,0,1,1,3,2,0,4,6,1,0,5807,175,0.187532289,7
종암동,8,1,2,3,12,0,4,6,0,3,0,13,0,0,0,7,1,16,2,0,0,0,2,3,2,17,2,0,0,0,0,0,0,21,1,0,2,0,0,2,1,1,4,4,11,3,2,0,39501,375,0.185615554,9.269230769
중계동,19,1,7,5,31,0,4,15,1,5,0,37,1,0,0,31,8,23,0,1,0,0,10,10,11,30,0,1,0,1,3,0,2,31,5,0,5,12,0,5,10,6,4,12,12,12,5,2,49425,196,0.112675771,3.285714286
중곡동,23,2,2,1,13,0,4,2,0,5,0,30,0,0,0,12,9,19,0,1,0,0,6,5,1,27,0,1,1,0,1,0,2,27,1,0,4,0,0,6,0,3,6,6,12,6,6,2,80269,883,0.191231982,2.780487805
중림동,0,0,3,1,4,0,1,3,0,0,0,4,0,0,0,4,0,4,0,0,0,0,0,2,2,4,0,0,0,0,0,0,1,4,1,0,1,0,0,1,0,0,1,0,4,2,0,1,12533,40,0.178648368,6.875
중화동,22,4,3,2,15,1,6,10,0,3,0,26,0,0,0,21,6,18,0,1,0,0,10,3,8,23,0,1,1,0,0,1,2,27,2,0,6,2,0,6,2,4,1,16,6,11,4,2,43041,969,0.222415836,1.826086957
증산동,5,0,0,2,4,0,0,0,0,3,0,8,0,0,0,6,0,5,0,0,0,0,3,2,1,5,0,0,0,0,0,0,0,6,1,0,2,2,0,0,2,0,3,1,3,1,1,0,18276,288,0.206226745,11.18181818
진관동,6,0,1,1,5,0,2,4,0,1,0,5,1,0,0,6,1,6,0,0,0,0,0,4,2,7,0,0,0,0,0,0,1,9,2,0,0,1,0,0,0,0,0,3,5,2,2,1,54253,0,0.171437524,3
창신동,9,2,4,2,3,0,5,1,1,4,0,9,0,0,0,2,1,17,0,0,0,0,2,0,0,18,0,0,0,0,1,0,0,4,0,1,9,0,0,5,1,2,2,4,4,6,1,0,20511,250,0.221539662,5.9
창동,19,4,7,3,18,0,5,4,0,7,0,35,0,0,0,22,0,29,0,0,0,0,7,10,5,28,0,0,1,0,1,0,1,24,4,0,7,10,0,4,4,9,5,4,12,13,3,1,116271,706,0.207670012,4.980392157
천연동,4,0,0,2,4,0,0,1,0,2,0,7,0,0,0,4,0,6,0,0,0,0,1,1,2,6,0,0,0,0,0,0,1,4,2,0,2,0,0,1,0,1,0,1,3,4,0,1,16688,74,0.204638063,4.1
천호동,31,2,7,2,20,0,4,11,1,3,1,42,0,0,0,26,9,27,0,0,0,0,9,9,8,36,0,0,0,0,0,0,1,34,5,2,8,3,0,9,1,9,5,8,16,12,10,1,86154,1765,0.202439817,0.451612903
청담동,34,5,7,3,9,1,4,6,1,3,0,43,0,0,0,9,17,31,0,1,0,0,4,2,3,48,0,1,0,0,4,0,4,39,1,1,0,1,1,7,1,10,6,7,13,14,2,5,24820,751,0.159548751,0.862068966
청량리동,8,1,5,11,12,0,4,6,0,2,0,25,0,0,0,14,1,22,0,0,0,0,7,2,5,23,0,0,0,0,0,0,3,20,1,0,3,1,0,9,0,6,2,6,7,10,3,3,19315,319,0.297644318,0.945945946
청운효자동,3,0,1,2,4,0,1,2,0,1,0,6,0,0,0,3,1,6,0,0,0,0,0,0,3,6,0,0,1,0,0,0,0,7,1,2,0,0,0,0,0,1,1,1,3,3,1,0,11414,155,0.193534256,1.1
청파동,7,0,2,0,7,0,3,3,0,5,0,5,0,0,0,4,3,9,0,0,0,0,0,1,3,12,0,0,0,0,0,0,1,7,0,0,7,0,0,1,0,0,4,2,3,3,3,1,19500,174,0.17374359,0.8125
충현동,5,1,1,3,7,0,1,1,0,3,0,12,0,0,0,6,2,9,0,0,0,0,3,1,2,11,0,0,0,0,1,0,1,7,2,1,2,1,0,2,0,1,0,1,7,6,1,1,20151,302,0.180338445,21.94117647
평창동,0,0,2,1,1,0,1,1,0,1,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,2,0,17472,224,0.211481227,42.5
풍납동,12,3,2,0,10,0,2,5,0,2,0,17,1,0,0,10,0,17,0,0,0,0,2,5,3,17,0,0,0,0,1,0,0,15,3,0,1,5,0,2,2,0,1,2,9,7,5,1,35928,1067,0.200205967,8.62962963
필동,2,0,0,1,3,0,0,2,0,2,0,2,0,0,0,4,0,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,2,1,3,0,0,0,5059,144,0.177505436,17.33333333
하계동,6,1,3,3,9,0,1,0,1,4,1,15,0,0,0,9,6,6,0,1,0,0,4,1,4,12,0,1,0,0,5,0,2,5,0,1,4,2,0,3,3,3,1,5,0,5,1,4,48344,108,0.178408903,4.227272727
한강로동,16,0,4,1,16,0,4,9,1,6,0,17,0,0,0,16,11,8,0,2,0,0,8,6,2,19,0,2,0,0,1,0,0,24,4,0,3,1,0,4,1,3,6,7,6,8,5,1,22620,635,0.14867374,3.162162162
한남동,19,1,3,4,18,0,1,12,1,4,0,26,1,0,0,17,13,14,0,1,0,1,5,3,9,26,0,1,0,0,1,0,1,32,2,0,4,0,0,5,1,4,9,14,8,5,4,0,18352,300,0.173169137,1.177777778
합정동,8,0,3,1,5,1,3,2,0,0,0,11,0,0,0,9,1,6,0,1,0,0,3,2,4,7,0,1,0,0,1,0,0,12,0,0,1,1,0,2,1,2,1,5,4,3,0,1,16543,352,0.163392371,8.823529412
행당동,7,1,3,4,14,0,2,7,0,2,0,18,0,0,0,10,2,17,0,0,0,0,0,3,7,19,0,0,0,0,4,0,1,15,1,0,4,0,0,4,5,6,1,2,6,4,3,2,36863,121,0.177006755,23.72413793
혜화동,9,1,1,0,6,0,1,4,0,2,0,10,0,0,0,5,0,12,0,0,0,0,3,0,2,12,0,0,0,0,1,0,1,11,2,0,1,0,0,1,1,2,3,1,3,5,1,1,19388,140,0.140602434,9.058823529
홍은동,17,3,4,4,11,0,7,7,1,3,0,21,0,0,0,9,2,28,0,0,0,0,2,2,5,30,0,0,0,0,0,0,0,23,5,2,5,1,0,3,0,3,4,5,12,11,4,0,51693,449,0.205230882,1.025641026
홍제동,12,0,3,4,14,0,2,7,0,7,0,17,0,0,0,11,0,22,0,0,0,0,3,2,6,22,0,0,0,0,0,0,0,25,2,2,2,0,0,2,1,4,5,5,10,4,4,0,55916,628,0.218273839,2.848484848
화곡동,85,14,8,10,34,1,11,16,1,5,0,117,0,0,0,46,25,80,0,0,0,0,12,24,10,105,0,0,0,0,0,2,8,80,16,0,19,10,0,16,1,25,21,20,31,32,12,9,193357,1979,0.188366597,0.01986755
화양동,27,3,2,4,4,0,3,2,0,5,0,30,0,0,0,9,8,22,0,1,0,0,6,2,1,30,0,1,0,0,2,0,3,22,1,5,4,2,0,1,2,13,1,5,5,8,1,5,27809,173,0.0876335,4.775
황학동,6,1,2,1,2,0,2,4,0,0,0,6,0,0,0,4,2,6,0,0,0,0,1,1,2,8,0,0,0,0,2,0,0,2,1,1,3,0,0,3,0,1,2,1,4,4,0,0,13638,13,0.160287432,2.916666667
회기동,6,3,2,5,6,0,1,6,0,0,0,15,0,0,0,5,1,16,0,0,0,0,2,1,2,17,0,0,0,0,0,0,0,18,1,0,1,0,0,2,0,2,1,4,4,8,3,0,13491,66,0.11511378,0.181818182
회현동,19,0,4,2,6,0,5,2,0,4,0,20,0,0,0,2,5,23,0,1,0,0,0,1,1,27,0,1,1,0,1,0,0,15,9,0,2,1,0,3,0,2,4,4,14,6,1,0,5011,141,0.275593694,3.483870968
효창동,3,0,0,0,3,0,0,0,0,0,0,6,0,0,0,2,1,3,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,1,3,1,0,0,10765,303,0.152810033,45.66666667
후암동,5,0,0,0,3,0,0,0,0,1,0,7,0,0,0,1,3,4,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,5,1,0,1,1,0,0,0,0,1,4,1,2,0,0,16386,180,0.191688026,5.75
휘경동,19,0,3,4,12,0,2,3,0,4,1,28,0,0,0,9,6,22,0,1,0,0,2,5,2,28,0,1,0,0,2,0,0,18,3,0,5,6,0,4,2,6,10,6,4,8,2,0,41538,205,0.15686841,1.157894737
흑석동,13,0,1,1,4,0,2,6,0,1,0,10,0,0,0,6,2,11,0,0,0,0,1,2,3,13,0,0,0,0,0,0,0,14,1,0,0,2,1,1,0,3,1,1,2,10,2,0,32259,47,0.164729223,0.157894737
성수동1가,8,3,2,5,7,0,2,0,0,2,0,21,0,0,0,7,1,17,0,0,0,1,1,5,1,17,0,0,0,0,0,0,1,18,0,0,0,4,0,2,1,3,2,4,4,6,4,1,27760,412,0.165958213,13.92
성수동2가,9,3,2,6,13,0,1,8,0,0,0,23,1,0,0,10,1,22,0,0,0,0,1,6,3,23,0,0,0,0,0,0,0,18,1,0,4,3,0,7,1,4,5,2,10,9,2,0,25295,1240,0.197548923,0.424242424
도림동,2,0,2,0,1,0,1,1,0,0,0,3,0,0,0,0,1,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,2,1,1,0,19468,212,0.187795356,17
항동,2,0,1,0,1,0,0,2,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,2,1,0,1,0,16417,0,0.1211549,56.25
